Condition,Participant,Angry (seconds),Disgusted (seconds),Fearful (seconds),Happy (seconds),Neutral (seconds),Sad (seconds),Surprised (seconds),Total_reported,Scale_factor,Angry (seconds)_norm,Disgusted (seconds)_norm,Fearful (seconds)_norm,Happy (seconds)_norm,Neutral (seconds)_norm,Sad (seconds)_norm,Surprised (seconds)_norm,Non_neutral_percent
C1,P1,0.05,10.969999999999999,0.0,20.12,22.8,15.95,0.1,69.99,1.7145306472353194,0.08572653236176597,18.808401200171453,0.0,34.49635662237463,39.09129875696529,27.346763823403343,0.17145306472353194,67.42391770252893
C1,P10,0.0,30.77,0.0,0.04,9.19,0.0,0.0,40.0,3.0,0.0,92.31,0.0,0.12,27.57,0.0,0.0,77.025
C1,P2,0.0,1.79,0.0,0.24,37.97,0.0,0.0,40.0,3.0,0.0,5.37,0.0,0.72,113.91,0.0,0.0,5.074999999999999
C1,P3,0.04,0.48,0.0,9.25,29.99,0.12,0.1,39.98,3.001500750375188,0.12006003001500752,1.4407203601800902,0.0,27.76388194097049,90.01500750375187,0.36018009004502255,0.3001500750375188,24.98749374687344
C1,P4,0.0,1.04,0.0,1.06,31.189999999999998,2.16,4.54,39.99,3.0007501875468865,0.0,3.120780195048762,0.0,3.1807951987996996,93.59339834958739,6.481620405101276,13.623405851462865,22.005501375343837
C1,P5,0.0,11.47,0.0,3.31,25.05,0.0,0.17,40.0,3.0,0.0,34.410000000000004,0.0,9.93,75.15,0.0,0.51,37.375
C1,P6,0.0,3.4000000000000004,0.0,0.0,28.6,17.98,0.0,49.980000000000004,2.4009603841536613,0.0,8.16326530612245,0.0,0.0,68.66746698679472,43.16926770708283,0.0,42.777110844337734
C1,P7,0.0,17.490000000000002,0.0,2.16,23.93,0.8400000000000001,5.58,50.0,2.4,0.0,41.976000000000006,0.0,5.184,57.431999999999995,2.016,13.392,52.14
C1,P8,0.0,0.0,0.0,8.98,28.919999999999998,0.0,2.09,39.989999999999995,3.000750187546887,0.0,0.0,0.0,26.946736684171047,86.78169542385596,0.0,6.271567891972993,27.681920480120038
C1,P9,0.0,0.9600000000000001,0.0,8.42,30.5,0.0,0.12,40.0,3.0,0.0,2.8800000000000003,0.0,25.259999999999998,91.5,0.0,0.36,23.749999999999996
C2,P1,0.0,26.52,0.06,15.36,18.91,18.759999999999998,0.4,80.00999999999999,1.499812523434571,0.0,39.77502812148482,0.08998875140607425,23.037120359955008,28.361454818147738,28.136482939632547,0.5999250093738284,76.36545431821024
C2,P10,0.0,14.52,0.0,2.04,16.65,0.0,16.78,49.989999999999995,2.400480096019204,0.0,34.854970994198844,0.0,4.8969793958791765,39.967993598719744,0.0,40.28005601120225,66.69333866773356
C2,P2,0.0,0.0,0.0,0.58,19.41,0.0,0.0,19.99,6.003001500750376,0.0,0.0,0.0,3.4817408704352175,116.5182591295648,0.0,0.0,2.901450725362681
C2,P3,0.0,5.79,0.0,12.25,21.96,0.0,0.0,40.0,3.0,0.0,17.37,0.0,36.75,65.88,0.0,0.0,45.1
C2,P4,0.0,3.7300000000000004,0.0,1.13,24.34,17.23,3.5700000000000003,50.0,2.4,0.0,8.952,0.0,2.7119999999999997,58.416,41.352,8.568,51.32
C2,P5,0.05,0.39,0.0,21.97,20.72,26.759999999999998,0.11000000000000001,69.99999999999999,1.7142857142857146,0.08571428571428574,0.6685714285714287,0.0,37.66285714285715,35.52,45.87428571428572,0.18857142857142864,70.40000000000002
C2,P6,0.0,5.609999999999999,0.0,8.13,16.79,19.48,0.0,50.010000000000005,2.3995200959808036,0.0,13.461307738452307,0.0,19.508098380323936,40.28794241151769,46.742651469706054,0.0,66.42671465706857
C2,P7,0.0,3.09,0.0,1.07,24.73,0.0,11.08,39.97,3.002251688766575,0.0,9.276957718288717,0.0,3.2124093069802355,74.2456842631974,0.0,33.264948711533656,38.12859644733551
C2,P8,1.5699999999999998,0.0,0.0,0.08,14.94,0.17,23.25,40.010000000000005,2.9992501874531365,4.708822794301424,0.0,0.0,0.23994001499625092,44.80879780054986,0.5098725318670333,69.73256685828542,62.65933516620844
C2,P9,0.0,0.0,0.0,11.670000000000002,27.81,0.0,0.51,39.99,3.0007501875468865,0.0,0.0,0.0,35.01875468867217,83.45086271567891,0.0,1.530382595648912,30.457614403600896
