Participant,Esperienza con il robot,Quanto la prima esperienza ti è sembrata nuova l'esperienza con il robot?,Noia nell'interazione con il robot,Noia nell'interazione con il computer,Preferenza,Gradimento generale dell'esperienza,Quanto hai compreso il senso o il fine dell'esperienza?,Note libere e generali (opzionale)
P1,L'ho visto e ci ho già interagito (fatto il gioco in passato),6,1,5,Robot,7,7,è interessante interagire con un robot che prova ad essere emoatico. è proprio questa empatia sintetica che mi affascina.
P2,L'ho visto e ci ho già interagito (fatto il gioco in passato),5,2,2,Nessuna,5,6,
P3,L'ho visto ma non ci ho mai interagito fino ad oggi,6,2,5,Robot,6,7,
P4,L'ho visto e ci ho già interagito (fatto il gioco in passato),5,2,3,Robot,6,7,
P5,L'ho visto ma non ci ho mai interagito fino ad oggi,5,2,2,Nessuna,5,6,
P6,L'ho visto ma non ci ho mai interagito fino ad oggi,5,5,1,Computer,5,6,"Mi piacerebbe interagire di più con il robot, capire perché ti fa ascoltare determinate tracce musicali ed avere un minimo di confronto altrimenti si resta con un'insoddisfazione generale"
P7,L'ho visto ma non ci ho mai interagito fino ad oggi,7,4,7,Robot,6,6,
P8,L'ho visto e ci ho già interagito (fatto il gioco in passato),7,2,2,Nessuna,6,5,
P9,L'ho visto ma non ci ho mai interagito fino ad oggi,6,1,2,Robot,7,7,
P10,L'ho visto e ci ho già interagito (fatto il gioco in passato),7,7,5,Computer,6,4,Musica e robot molto interessante
